0;331;346
1;343;357
2;341;357
3;352;369
4;357;377
5;367;383
6;378;395
7;388;407
8;402;418
9;404;422
10;410;432
11;413;433
12;425;446
13;419;441
14;421;444
15;420;441
16;423;447
17;413;438
18;407;433
19;399;423
20;397;419
21;395;418
22;399;421
23;376;390
24;376;383
25;369;375
26;374;374
27;376;372
28;372;363
29;375;367
30;395;384
31;402;390
32;413;402
33;420;401
34;428;406
35;430;404
36;436;410
37;436;408
38;430;405
39;423;399
40;447;425
41;449;427
42;455;433
43;428;410
44;418;402
45;416;404
46;405;393
47;417;407
48;437;428
49;459;446
50;468;458
51;465;455
52;455;443
53;450;435
54;446;427
55;443;426
56;456;435
57;458;435
58;464;437
59;458;428
60;442;412
61;441;410
62;440;405
63;437;399
64;427;385
65;425;381
66;422;373
67;418;364
68;412;361
69;403;350
70;409;351
71;395;339
72;406;347
73;398;335
74;394;331
75;383;319
76;360;295
77;271;216
78;261;205
79;251;195
80;230;175
81;201;150
82;205;149
83;213;146
84;201;135
85;193;123
86;186;113
87;173;97
88;164;87
89;144;73
90;136;63
91;117;52
92;102;41
93;80;30
94;65;22
95;52;15
96;40;11
97;29;7
98;21;5
99;15;3
100;10;2
101;7;1
102;4;1
103;2;0
104;1;0
105;1;0
106;0;0
107;0;0
108;0;0
109;0;0
